"TableName","ColumnName","ColumnData"
"GLACCOUNT","GL_ACCT_ID","01-10020-000-00-00"
"AP_BILL_EXP","GL_ACCT_ID","01-10020-000-00-00"
"AP_SUM","BANK","01-10020-000-00-00"
"ARTRANS_GL","ACCT_CODE","01-10020-000-00-00"
"AR_CASH","DEPOSIT_TO","01-10020-000-00-00"
"BANK_INFO","GL_ACCT_ID","01-10020-000-00-00"
"CHECK_MSTR","GL_ACCT_ID","01-10020-000-00-00"
"CHECK_MSTR","CHECK_KEY","01-10020-000-00-00_00000000003. "
"CHECK_MSTR","CHECK_KEY2","01-10020-000-00-00_181427_00000000585. "
"CHECK_MSTR","CHECK_KEY3","01-10020-000-00-00_V__00000000585. "
"CHECK_MSTR","CHECK_KEY4","01-10020-000-00-00_V__00000000585. "
"DIRDEP","BANK_ACCT","01-10020-000-00-00"
"DOCUMENT_FILES","TRUCKMATE_VALUE","01-10020-000-00-00"
"CHECK_MSTR_AUTH","CHECK_KEY2","01-10020-000-00-00_181427_00000000585. "
"CHECK_MSTR_AUTH","CHECK_KEY3","01-10020-000-00-00_V__00000000585. "
"CHECK_MSTR_AUTH","CHECK_KEY4","01-10020-000-00-00_V__00000000585. "
"CHECK_MSTR_V","GL_ACCT_ID","01-10020-000-00-00"
"GLTRANS","GL_ACCT_ID","01-10020-000-00-00"
"IMP_CASH","DEPOSIT_TO","01-10020-000-00-00"
"KPI_PARAM_VALUE","PARAM_VALUE","01-10020-000-00-00"
"CHECK_MSTR_V","CHECK_KEY","01-10020-000-00-00_00000000003. "
"GLACCOUNT_FAST_AUTH","GL_ACCT_ID","01-10020-000-00-00"
"GLTRANS_ACCOUNT_V","GL_ACCT_ID","01-10020-000-00-00"
"SPLIT_DIRECT_DEPOSITS","GL_ACCT_ID","01-10020-000-00-00"
"GLTRANS_REC_TOTALS_VIEW","GL_ACCT_ID","01-10020-000-00-00"
"TEMP_AP_SUM","BANK","01-10020-000-00-00"
"VENDOR_GLDIST","GL_ACCT_ID","01-10020-000-00-00"
"CHECK_MSTR_V","CHECK_KEY2","01-10020-000-00-00_Direct Deposit_00000000003. "
"CHECK_MSTR_V","CHECK_KEY3","01-10020-000-00-00_V_05801_00000000003. "
"CHECK_MSTR_V","CHECK_KEY4","01-10020-000-00-00_V_ECAPITAL FREIGHT FACTORING INC._00000000003. "
"AP_SUM_ALL","BANK","01-10020-000-00-00"
"AP_SUM_AUTH","BANK","01-10020-000-00-00"
"VENDOR_GLDIST_V","GL_ACCT_ID","01-10020-000-00-00"
"VENDOR_GLDIST_ALL","GL_ACCT_ID","01-10020-000-00-00"
"VIEW_GLACCOUNT","GL_ACCT_ID","01-10020-000-00-00"
"VW_SPLIT_DIRECT_DEPOSITS","GL_ACCT_ID","01-10020-000-00-00"
"GLACCOUNT_ALL","GL_ACCT_ID","01-10020-000-00-00"
"GLACCOUNT_AUTH","GL_ACCT_ID","01-10020-000-00-00"
"GLACCOUNT_V","GL_ACCT_ID","01-10020-000-00-00"
"AP_SUM_V","BANK","01-10020-000-00-00"
"IMAGING_APBILL_DETAILS","GL_ACCT_ID","01-10020-000-00-00"
"AR_CASH_ALL","DEPOSIT_TO","01-10020-000-00-00"
"AR_CASH_V","DEPOSIT_TO","01-10020-000-00-00"
"BANK_INFO_V","GL_ACCT_ID","01-10020-000-00-00"
"VIEW_AP_ACCOUNT","GL_ACCT_ID","01-10020-000-00-00"
"CHECK_MSTR_ALL","GL_ACCT_ID","01-10020-000-00-00"
"CHECK_MSTR_ALL","CHECK_KEY","01-10020-000-00-00_00000000003. "
"VIEW_GET_GLACCOUNT","GL_ACCT_ID","01-10020-000-00-00"
"CHECK_MSTR_ALL","CHECK_KEY2","01-10020-000-00-00_181427_00000000585. "
"CHECK_MSTR_ALL","CHECK_KEY3","01-10020-000-00-00_V__00000000585. "
"CHECK_MSTR_ALL","CHECK_KEY4","01-10020-000-00-00_V__00000000585. "
"VIEW_AP_BILL_EXP","GL_ACCT_ID","01-10020-000-00-00"
"CHECK_MSTR_AUTH","GL_ACCT_ID","01-10020-000-00-00"
"CHECK_MSTR_AUTH","CHECK_KEY","01-10020-000-00-00_00000000003. "
